id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13759666,Montferrutx,80636743,Foravila,,Artà,39.7332144962197,3.276389871698912,Entire home/apt,117,1,0,,,193,138
13890025,Gessamini,81580920,PlanetVillas Vacaciones,,Artà,39.73316941865102,3.270008493713173,Entire home/apt,167,1,0,,,104,74
17522160,VORAMAR - Chalet for 6 people in Colonia de Sant Pere.,80839530,Franz,,Artà,39.73588697691548,3.2787015584893804,Entire home/apt,68,7,0,,,107,300
2267340,Romantisches Landhaus auf gr. Finca,10543258,Viola,,Artà,39.67979915271191,3.3294594696928064,Entire home/apt,90,5,5,2016-09-02,0.15,4,184
10236540,Can Morello - house with pool and sea views,3625030,Angela,,Artà,39.73784338285206,3.2867939422393904,Entire home/apt,254,7,0,,,752,232
7610306,"FeWo Bucht von Alcudia 5, 4 Pers.",13854562,Uwe,,Artà,39.733207034315306,3.275237717495595,Entire home/apt,76,5,2,2016-09-06,0.30,5,363
16430855,FINCA DE ENSUEÑO EN ARTÁ PARA 6 PERSONAS,24418330,Toni,,Artà,39.67947731896462,3.3685544572422557,Entire home/apt,188,7,0,,,3,236
4341146,"FeWo Bucht von Alcudia 3, 4 Pers.",13854562,Uwe,,Artà,39.73446057691718,3.2746733655288294,Entire home/apt,76,5,3,2016-07-24,0.15,5,363
8544795,Traumhafte Wohnung auf Mallorca,44983251,Stefan,,Artà,39.73734987407902,3.2802632099061646,Entire home/apt,100,1,3,2016-08-20,0.36,1,341
3398228,Lujoso chalet con piscina propia,17142469,María  José,,Artà,39.73811943957912,3.2797506381947272,Entire home/apt,200,7,0,,,1,365
1366779,"ES PARRAL, enjoy the silence.",8130624,Catalina,,Artà,39.733894925454386,3.2928828931948355,Entire home/apt,145,6,0,,,30,263
6803624,Casa vistas mar Colonia Sant Pere,35616994,Enrique,,Artà,39.73620692825927,3.279998055408844,Entire home/apt,90,4,7,2016-09-30,0.36,1,238
6988264,charmantes Haus Meernähe,3556585,Michael & Eva,,Artà,39.7386680411476,3.279085326426106,Entire home/apt,109,7,1,2016-07-31,0.13,1,288
11094061,Villa Can Peu By 5StarsHome,35276177,5StarsHome,,Artà,39.74287944840479,3.2875448651207195,Entire home/apt,333,7,0,,,30,203
13746026,104 Holiday Villa Mallorca,3893191,Antoni Mallorca Charme Home Rentals,,Artà,39.752596185019506,3.319660016772808,Entire home/apt,159,7,0,,,135,115
9353285,Villa Can Sanso By 5StarsHome,35276177,5StarsHome,,Artà,39.73822608627394,3.2871336971730942,Entire home/apt,280,5,0,,,30,228
14441803,Villa Can Garau,70622894,Christoph,,Artà,39.72914579644871,3.2803973676359206,Entire home/apt,370,7,0,,,2,258
14232556,KASHMIR,43337979,Top Villas Mallorca,,Artà,39.68069671503319,3.368459157384665,Entire home/apt,69,7,0,,,224,234
9876825,Casa con jardin a 5 min del mar,50821569,Magi,,Artà,39.73362424604356,3.2741696565818996,Entire home/apt,130,7,0,,,1,365
17130147,Jada,3625030,Angela,,Artà,39.733507269508074,3.2751258766873423,Entire home/apt,166,7,0,,,752,138
13593672,Casa Mia - Authentic & Quiet Majorcan Home,20758784,Diana,,Artà,39.731427322559185,3.276165122452655,Entire home/apt,150,7,2,2016-08-25,0.28,1,145
15825778,Finca with pool and panoramic views - Finca Xisca,62554398,Vanessa,,Artà,39.69886160989283,3.326863093137631,Entire home/apt,290,5,0,,,10,288
14884139,Sa Vinya,45275556,Caroline,,Artà,39.73266204797341,3.2600755347503187,Entire home/apt,126,5,0,,,34,364
5922422,HOUSE BY THE SEA IN NORTH MALLORCA,15012645,Fernando,,Artà,39.7387032637191,3.2806423620728675,Entire home/apt,150,4,2,2016-09-29,0.26,1,300
12949599,Casa Pinomar - wunderschöne Villa,27935921,Bernd,,Artà,39.75362271795139,3.3185329344917114,Entire home/apt,250,1,0,,,1,191
4230283,Finca Mallorca,21918592,Miguel Angel,,Artà,39.68582545591602,3.3313119879123465,Entire home/apt,100,7,0,,,1,323
5451290,Urlaub auf der Finca Son Miguel,27313135,Sonja,,Artà,39.74316790268133,3.3025782612749146,Private room,85,1,26,2016-10-28,1.23,1,312
13760674,Sa Caseta,80636743,Foravila,,Artà,39.6742018261347,3.3276679435445207,Entire home/apt,171,1,0,,,193,189
10672053,Finca moderne avec piscine,55125578,Marie Helene,,Artà,39.7385998181321,3.2805317201206385,Entire home/apt,350,7,0,,,1,269
15694252,Finca with pool - Finca Maria,62554398,Vanessa,,Artà,39.67883202403286,3.3544700735217434,Entire home/apt,198,5,0,,,10,364
3692563,Parra - House with garden in Colonia San Pedro,3296019,Marc,,Artà,39.73821177463971,3.281632154269104,Entire home/apt,124,5,0,,,87,307
10147900,Clavel - Chalet nearby the sea,3296019,Marc,,Artà,39.73192408443648,3.2766960611253864,Entire home/apt,100,5,0,,,87,316
7436836,"Spacious villa with large pool, close to the beach",38957455,Corinne,,Artà,39.73319381445327,3.2607581897215137,Entire home/apt,250,4,1,2016-03-30,0.09,1,291
11369053,Room with shared bathroom and toilets,55870406,Encarnación,,Artà,39.735426497621326,3.273861655651286,Private room,45,2,22,2016-10-07,2.24,3,178
3046050,Casa Pla del Mar Haus am Meer,5487968,Jürgen,,Artà,39.732574750463606,3.2584307031304354,Entire home/apt,135,5,3,2016-08-06,0.25,3,221
2939040,Très jolie maison d'architecte,13565443,Agnes,,Artà,39.73911243070291,3.2792485119816273,Entire home/apt,200,3,1,2016-07-23,0.13,1,321
13818065,Beautiful Finca with pool and an amazing View,35459318,Axel,,Artà,39.7339315990875,3.271634899590563,Entire home/apt,200,10,1,2016-07-10,0.12,1,363
17660722,Quiet country house with pool in Arta,120193591,Guillem,,Artà,39.701919797697066,3.3458984994257635,Entire home/apt,125,2,0,,,1,271
